file	line	declaration	note
lib/screens/auth_screen.dart	542	onPressed: openJellyfin,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	544	onPressed: openJellyfin,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	561	onPressed: busy ? null : (isTV ? startBrowser : startQr),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	563	onPressed: busy ? null : (isTV ? startBrowser : startQr),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	572	onPressed: _handleDebugTap,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	574	onPressed: _handleDebugTap,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	654	onPressed: onRetry,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	656	onPressed: onRetry,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	665	onPressed: onConnectJellyfin,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	667	onPressed: onConnectJellyfin,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	741	title: const Text('Debug: Enter Plex Token'),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	761	DialogActionButton(onPressed: _busy ? () {} : () => Navigator.of(context).pop(), label: t.common.cancel),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/auth_screen.dart	762	DialogActionButton(onPressed: _busy ? () {} : _submit, label: t.auth.authenticate, isPrimary: true),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/base_media_list_detail_screen.dart	146	onPressed: playItems,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/base_media_list_detail_screen.dart	153	onPressed: shufflePlayItems,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/base_media_list_detail_screen.dart	160	onPressed: onDelete,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/collection_detail_screen.dart	140	FocusableAction(icon: Symbols.play_arrow_rounded, tooltip: t.common.play, onPressed: playItems),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/collection_detail_screen.dart	141	FocusableAction(icon: Symbols.shuffle_rounded, tooltip: t.common.shuffle, onPressed: shufflePlayItems),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/collection_detail_screen.dart	147	onPressed: hasRule ? _manageCollectionSyncRule : _downloadCollection,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/collection_detail_screen.dart	154	onPressed: _removeCollectionSyncRule,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/collection_detail_screen.dart	159	onPressed: _deleteCollection,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/collection_detail_screen.dart	219	title: t.collections.deleteCollection,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/collection_detail_screen.dart	220	message: t.collections.deleteConfirm(title: widget.collection.displayTitle),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/collection_detail_screen.dart	254	CustomAppBar(title: Text(widget.collection.title!), actions: buildFocusableAppBarActions()),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/collection_detail_screen.dart	307	title: t.collections.removeFromCollection,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/collection_detail_screen.dart	308	message: t.collections.removeFromCollectionConfirm(title: item.displayTitle),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	36	title: Text(t.companionRemote.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	43	onPressed: () async {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	46	title: t.common.disconnect,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	83	OutlinedButton(onPressed: () => provider.cancelReconnect(), child: Text(t.common.cancel)),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	86	onPressed: () => provider.retryReconnectNow(),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	246	onPressed: () => _sendCommand(RemoteCommandType.home),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	251	onPressed: () => _sendCommand(RemoteCommandType.back),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	256	onPressed: () => _sendCommand(RemoteCommandType.contextMenu),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	274	onPressed: () => _sendCommand(RemoteCommandType.tabDiscover),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	279	onPressed: () => _sendCommand(RemoteCommandType.tabLibraries),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	284	onPressed: () => _showSearchSheet(switchToSearchTab: true),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	289	onPressed: () => _sendCommand(RemoteCommandType.tabDownloads),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	294	onPressed: () => _sendCommand(RemoteCommandType.tabSettings),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	313	onPressed: () => _sendCommand(RemoteCommandType.previousTrack),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	321	onPressed: () => _sendCommand(RemoteCommandType.playPause),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	327	onPressed: () => _sendCommand(RemoteCommandType.nextTrack),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	338	onPressed: () => _sendCommand(RemoteCommandType.seekBackward),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	344	onPressed: () => _sendCommand(RemoteCommandType.stop),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	350	onPressed: () => _sendCommand(RemoteCommandType.seekForward),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	363	onPressed: () => _sendCommand(RemoteCommandType.volumeMute),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	369	onPressed: () => _sendCommand(RemoteCommandType.volumeDown),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	375	onPressed: () => _sendCommand(RemoteCommandType.volumeUp),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	394	if (!isPlayerActive) _RemoteCard(icon: Icons.search, label: t.common.search, onPressed: _showSearchSheet),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	399	onPressed: () => _sendCommand(RemoteCommandType.fullscreen),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	404	onPressed: () => _sendCommand(RemoteCommandType.subtitles),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	409	onPressed: () => _sendCommand(RemoteCommandType.audioTracks),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	444	onTap: () => onCommand(RemoteCommandType.dpadUp),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	449	onTap: () => onCommand(RemoteCommandType.dpadRight),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	454	onTap: () => onCommand(RemoteCommandType.dpadDown),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	459	onTap: () => onCommand(RemoteCommandType.dpadLeft),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	461	Center(child: _DPadCenter(onTap: () => onCommand(RemoteCommandType.select))),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	505	onTap: () {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	542	onTap: () {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	622	onPressed: () {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	647	onPressed: () {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	691	suffixIcon: IconButton(icon: const Icon(Icons.send), onPressed: () => _submit(_controller.text)),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/companion_remote/mobile_remote_screen.dart	716	onTap: () {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	609	onSelect: () {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	976	onPressed: _switchingProfile ? null : () => _userMenuKey.currentState?.showButtonMenu(focusFirstItem: true),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	1152	onPressed: _handleRefreshPressed,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	1153	child: DiscoverRefreshAction(color: foregroundColor, onPressed: _handleRefreshPressed),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	1161	onPressed: () => _nowWatchingButtonKey.currentState?.togglePanel(),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	1166	onPressed: () =>	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	1176	onPressed: () => Navigator.push(	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	1203	onPressed: () {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	1221	onPressed: () {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	1261	onPressed: () => _serverActivitiesButtonKey.currentState?.togglePanel(),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	1369	title: t.discover.continueWatching,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	1417	title: t.discover.noContentAvailable,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	1571	onTap: () {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	1733	// No ad-hoc glow/shadow on the title: the scrim gradient already provides	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	1763	onTap: () {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/discover_screen.dart	2026	onTap: () {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/downloads/downloads_screen.dart	124	title: _buildAppBarTitle(),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/downloads/downloads_screen.dart	140	onPressed: () =>	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/downloads/downloads_screen.dart	339	title: t.downloads.noDownloads,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/downloads/sync_rules_screen.dart	38	title: Text(t.downloads.activeSyncRules),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/downloads/sync_rules_screen.dart	242	onSelect: () => _onTap(context),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/downloads/sync_rules_screen.dart	251	title: Text(title, maxLines: 1, overflow: .ellipsis),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/downloads/sync_rules_screen.dart	266	onSelect: () => downloadProvider.setSyncRuleEnabled(rule.globalKey, !rule.enabled),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/downloads/sync_rules_screen.dart	273	onTap: () => _onTap(context),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/downloads/sync_rules_screen.dart	331	onTap: widget.onDelete,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/home/mobile_catalog_screen.dart	379	onPressed: () => Navigator.of(context).maybePop(),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/home/mobile_catalog_screen.dart	395	onPressed: () {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/home/mobile_catalog_screen.dart	426	onPressed: () => _openFilters(sheetContext, initialSection: MobileCatalogFilterSection.servers),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/home/mobile_catalog_screen.dart	439	onPressed: () => _openFilters(sheetContext, initialSection: MobileCatalogFilterSection.status),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/home/mobile_catalog_screen.dart	451	onPressed: () => _openSort(sheetContext),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/home/mobile_catalog_screen.dart	505	title: t.unifiedCatalog.states.errorTitle,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/home/mobile_catalog_screen.dart	513	title: t.unifiedCatalog.states.filterEmptyTitle,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/home/mobile_catalog_screen.dart	519	return _EmptyState(title: t.unifiedCatalog.states.emptyTitle, body: t.unifiedCatalog.states.emptyBody);	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/home/mobile_catalog_screen.dart	565	onTap: () => _openDetails(group),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/home/mobile_catalog_screen.dart	653	FilledButton(onPressed: onAction, child: Text(actionLabel!)),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/home/mobile_landing_screen.dart	221	onTap: () => _openCatalog(context),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/hub_detail_screen.dart	84	FocusableAction(icon: Symbols.swap_vert_rounded, tooltip: t.libraries.sort, onPressed: _showSortBottomSheet),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/hub_detail_screen.dart	176	MediaSort(key: 'titleSort', title: t.hubDetail.title, defaultDirection: 'asc'),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/hub_detail_screen.dart	177	MediaSort(key: 'year', descKey: 'year:desc', title: t.hubDetail.releaseYear, defaultDirection: 'desc'),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/hub_detail_screen.dart	178	MediaSort(key: 'addedAt', descKey: 'addedAt:desc', title: t.hubDetail.dateAdded, defaultDirection: 'desc'),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/hub_detail_screen.dart	179	MediaSort(key: 'rating', descKey: 'rating:desc', title: t.hubDetail.rating, defaultDirection: 'desc'),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/hub_detail_screen.dart	470	TextButton(onPressed: _retryHubContinuation, child: Text(t.common.retry)),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/hub_detail_screen.dart	504	CustomAppBar(title: Text(widget.hub.title), pinned: true, actions: buildFocusableAppBarActions()),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/content_state_builder.dart	17	title: message,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/content_state_builder.dart	35	child: StateView.empty(title: message, icon: icon ?? Symbols.inbox_rounded, message: subtitle),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/content_state_builder.dart	84	title: errorMessage!,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/content_state_builder.dart	93	return StateView.empty(title: emptyMessage, icon: emptyIcon);	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/filters_bottom_sheet.dart	186	title: currentFilter?.title ?? t.libraries.filters,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/filters_bottom_sheet.dart	191	onPressed: _clearFilters,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/filters_bottom_sheet.dart	193	onPressed: _clearFilters,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/filters_bottom_sheet.dart	227	title: Text(t.libraries.all),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/filters_bottom_sheet.dart	229	onTap: () {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/filters_bottom_sheet.dart	243	title: Text(value.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/filters_bottom_sheet.dart	245	onTap: () {	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/filters_bottom_sheet.dart	288	title: Text(filter.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/filters_bottom_sheet.dart	303	title: Text(filter.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/filters_bottom_sheet.dart	319	onTap: () => _loadFilterValues(filter),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/folder_tree_item.dart	159	builder: (context) => AppMenuSheet<String>(title: _rowTitle(), entries: entries, focusFirstItem: fromKeyboard),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/folder_tree_item.dart	406	onTap: _handleTap,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/folder_tree_item.dart	431	onSelect: _handleTap,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/folder_tree_item.dart	448	onPressed: playAll,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/folder_tree_item.dart	450	onPressed: playAll,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/folder_tree_item.dart	469	onPressed: shuffle,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/folder_tree_item.dart	471	onPressed: shuffle,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/folder_tree_view.dart	389	onTap: !isFolder ? () => _handleItemTap(item) : null,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	714	confirmationMessage: t.libraries.refreshMetadataConfirm(title: library.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	729	confirmationMessage: t.libraries.scanLibraryConfirm(title: library.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	737	confirmationMessage: t.libraries.analyzeLibraryConfirm(title: library.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	746	confirmationMessage: t.libraries.emptyTrashConfirm(title: library.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	761	title: item.confirmationTitle ?? t.dialog.confirmAction,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	876	progressMessage: t.messages.libraryScanning(title: library.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	877	successMessage: t.messages.libraryScanStarted(title: library.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	885	progressMessage: t.messages.metadataRefreshing(title: library.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	886	successMessage: t.messages.metadataRefreshStarted(title: library.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	894	progressMessage: t.libraries.emptyingTrash(title: library.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	895	successMessage: t.libraries.trashEmptied(title: library.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	903	progressMessage: t.libraries.analyzing(title: library.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	904	successMessage: t.libraries.analysisStarted(title: library.title),	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	1025	title: selectedLibrary?.title ?? t.libraries.title,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	1116	onSelect: _loadLibraryContent,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	1237	pref: SettingsService.groupLibrariesByServer,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
lib/screens/libraries/libraries_screen.dart	1273	onPressed: _showLibraryManagementSheet,	Code-inventaris; platformvoorwaarden en runtime-bereikbaarheid nog per route toetsen
